step,clear,pnc,oewc,ewc,impala
0,0,0,0,0,0
50,0,0,0,0,0
100,0,0,0,0,0
150,0,0,0,0,0
200,35000,12500,12500,0,20000
250,30000,0,5000,0,0
300,25000,0,0,0,0
350,30000,0,0,0,0
400,27500,0,0,0,0
450,30000,0,0,0,0
500,37500,20000,12500,0,20000
550,35000,0,2500,0,0
600,35000,0,0,0,0
