step,clear,pnc,oewc,ewc,impala
0,0,0,0,0,0
50,2350,850,800,950,900
100,1000,50,100,500,100
150,1200,250,150,500,100
200,1050,300,150,500,100
250,1000,50,100,500,100
300,900,50,100,500,100
350,2800,1000,750,500,1200
400,2500,250,200,500,200
450,2400,200,200,500,250
500,2300,250,200,500,200
550,1900,150,200,500,150
600,1950,150,200,500,150
