step,clear,pnc,oewc,ewc,impala
0,0,0,0,0,0
50,0,0,0,0,0
100,0,0,0,0,0
150,0,0,0,0,0
200,0,0,0,0,0
250,37500,42500,2500,0,70000
300,25000,17500,0,0,2500
350,20000,0,0,0,0
400,2000,0,0,0,0
450,2000,0,0,0,0
500,2000,0,0,0,0
550,70000,50000,10000,0,87500
600,57500,3000,5000,0,5000
