step,clear,pnc,oewc,ewc,impala
0,0,0,0,0,0
50,500,500,0,1000,0
100,8750,6500,6500,2000,7000
150,6500,1000,2000,2250,1850
200,6750,1000,1850,2250,0
250,7000,500,500,1750,1800
300,6500,500,1250,1750,1000
350,6500,1000,1750,2000,1500
400,9500,6500,6500,2000,8000
450,6750,1000,4000,2000,3000
500,6500,1500,3000,2000,1750
550,6250,0,0,2000,1500
600,6250,500,2000,2000,1500
