step,clear,pnc,oewc,ewc,impala
0,0,0,0,0,0
50,0,0,0,250,0
100,0,0,0,500,0
150,2250,4250,1750,250,8500
200,1750,3000,1000,250,2250
250,2000,0,750,250,0
300,1500,0,500,250,0
350,1750,0,500,250,0
400,1500,0,500,250,0
450,4750,5000,2000,250,9000
500,3000,3250,1000,250,2000
550,2000,0,750,250,0
600,2000,500,500,250,0
